	MX.01	YB03	YB08	YB13	YBO4
0c11815ae72ddfb52974a18b92b00bac	2.0	0.0	0.0	0.0	0.0
0c37afa67047c05f53bf3bf48d7daf33	0.0	0.0	0.0	5.0	0.0
0c43e7d0a3a55331eb1a67ca92da1b85	4.0	0.0	0.0	0.0	0.0
0c646320c24c92ed7f7e680d110fc775	0.0	0.0	0.0	0.0	22.0
0c7814c4fafc825823cb2c5b8a107a55	3.0	0.0	0.0	0.0	0.0
0c914539f91295f9482a9215071e33de	0.0	0.0	0.0	7.0	0.0
0cac35d8218a078e08ed72302f8e5b61	0.0	0.0	0.0	0.0	21.0
0d0829d997d7f1db75042cd88be58d48	0.0	0.0	0.0	54.0	0.0
0d29574bc8a33fba35d7bd2bce0b8d68	0.0	24.0	0.0	0.0	0.0
0d31ecaf5577ed7691892a8b6e437845	0.0	0.0	0.0	18.0	0.0
0d7d1a46937b19ddf6dd45527e2a698c	0.0	0.0	0.0	0.0	13.0
0df27f7d5339652a154f4054b9f0e89c	0.0	0.0	0.0	9.0	0.0
0e16fe91dc7f39e05f581b6eb0c6bcb0	0.0	0.0	0.0	7.0	0.0
0e2e91fba1ca9ed7de2d11ea4786c914	0.0	0.0	0.0	47.0	0.0
0e34ab05a2584ccb540e6e4485f15a35	0.0	0.0	0.0	3.0	0.0
0e373fe8ab1070ea220ac02957a0fbda	0.0	0.0	0.0	31.0	0.0
0e586d41a9935f2fc269051bac89d312	0.0	14.0	0.0	0.0	13.0
0e690d907050e4d97bd29853e420dd5a	0.0	0.0	0.0	100.0	0.0
0ec1b43df23d19c71b4e4cba59affd33	250.0	0.0	0.0	0.0	0.0
0ed7b9d2079cfa84658ed1520fff91eb	0.0	8.0	0.0	0.0	0.0
0ef070cbfeb90efb5d37ce0a1249c3cd	0.0	0.0	0.0	0.0	5.0
0f30be9f37fe4747f600bd0dadfeb543	0.0	0.0	21.0	0.0	0.0
0f394e1d55420afcaa5ece5f90d592ec	0.0	191.0	152.0	0.0	0.0
0f511b202922ba2e688350dfff360ac7	0.0	0.0	0.0	13.0	0.0
0f7fca77799ffb2c5723c6b4753a31f7	0.0	0.0	0.0	24.0	0.0
0f9561b0866a8bdd57696cf5b0986194	0.0	0.0	0.0	3.0	0.0
0f96d8c504dd7454b21cd105336be487	0.0	0.0	0.0	0.0	10.0
0fb442ab15ac6c88616ff8309dc302c2	0.0	5.0	0.0	0.0	8.0
0fb974fec89b4f64ab8182419bd566b2	12.0	0.0	0.0	0.0	0.0
0fccdc64f3b71b55e490e89ad7a415e4	0.0	0.0	0.0	0.0	2.0
0fd9561508ae0ee584b56a20b2a60967	0.0	0.0	0.0	0.0	8.0
0fdc35769b2ba30b50ad58aece701229	0.0	0.0	630.0	3437.0	2091.0
0fead5ef1d4f5226217c7b536ee50d36	0.0	0.0	13.0	0.0	0.0
104f796e3962280c82ede5dde0a4b761	0.0	79.0	0.0	0.0	0.0
10724f34a763c1e753cb4af548c25f14	0.0	0.0	0.0	0.0	4.0
107273e73071282e4d0f4a0b46548da5	0.0	0.0	53.0	0.0	124.0
10780450e1a4212536eed6ba2885a359	0.0	0.0	57.0	0.0	0.0
108a02a815a44421a3da17b82eea8215	573.0	0.0	0.0	0.0	0.0
10afda2baef44de4c584a6641de399b1	0.0	0.0	0.0	417.0	0.0
10c2a0739ea7e119e3824ea2be49621f	0.0	0.0	0.0	131.0	0.0
111e6a4fd5aaee34daf3609f78bafda1	0.0	0.0	0.0	0.0	49.0
112914ce63b60445bedeec6d94b170c1	0.0	0.0	11.0	0.0	0.0
